,Layer,Dataset,Seasonal-value,loss,train_loss
134,GRU,dataset_n_outliers_log,15D,0.14184532314538956,0.13808540617808318
135,GRU,dataset_n,D-X,0.05929389409720898,0.058593911305069926
136,GRU,dataset_n_outliers,D-X,0.06823079027235508,0.06986873215064407
137,GRU,dataset_n_outliers_l,D-X,0.06761578172445297,0.06945842569693923
138,GRU,dataset_n_outliers_representative,D-X,0.19705564379692078,0.19031397081338441
139,GRU,dataset_n_outliers_generated,D-X,0.05439612604677677,0.09308712521324987
140,GRU,dataset_n_outliers_diff1,D-X,0.03845661748200655,0.03811001582071185
141,GRU,dataset_n_outliers_diff2,D-X,0.05113520249724388,0.05036767735145986
142,GRU,dataset_n_outliers_sqrt,D-X,0.10645360946655273,0.10616558138281107
143,GRU,dataset_n_outliers_log,D-X,0.099290956184268,0.09837915748357773
144,GRU,dataset_n,7D-X,0.07061250582337379,0.06933212243020534
145,GRU,dataset_n_outliers,7D-X,0.061811463534832,0.06444068127311767
146,GRU,dataset_n_outliers_l,7D-X,0.0693944364786148,0.06388798104599118
147,GRU,dataset_n_outliers_representative,7D-X,0.18186696767807006,0.1866153088899759
148,GRU,dataset_n_outliers_generated,7D-X,0.05832042470574379,0.0842296214207359
149,GRU,dataset_n_outliers_diff1,7D-X,0.04055727832019329,0.038049969170242545
150,GRU,dataset_n_outliers_diff2,7D-X,0.0518238790333271,0.05016952995210886
151,GRU,dataset_n_outliers_sqrt,7D-X,0.05822387263178826,0.05208418285474181
152,GRU,dataset_n_outliers_log,7D-X,0.13880822882056237,0.1286836912855506
153,GRU,dataset_n,15D-X,0.0673108696937561,0.06776861980175361
154,GRU,dataset_n_outliers,15D-X,0.06476343870162964,0.06494752900340618
155,GRU,dataset_n_outliers_l,15D-X,0.06759490631520748,0.06970675366047101
156,GRU,dataset_n_outliers_representative,15D-X,0.1860170528292656,0.1928470524457785
157,GRU,dataset_n_outliers_generated,15D-X,0.06164792589843273,0.08479857144125721
158,GRU,dataset_n_outliers_diff1,15D-X,0.03825689759105444,0.0379680143430447
159,GRU,dataset_n_outliers_diff2,15D-X,0.048677711933851245,0.05145499817071817
160,GRU,dataset_n_outliers_sqrt,15D-X,0.049683079868555066,0.048605587715521835
161,GRU,dataset_n_outliers_log,15D-X,0.13302999138832092,0.1258752097686132
